Artist Name,Genre,Resources,Social
A Kiss Before Dying,"Hardcore, Metalcore",,
Above Jupiter,"Indie, Garage Rock, Jazz",,
Accept It,"Alternative, Jazz",,
After the Rain,"Indie, Grunge",,
Agiv3n,Rap,,
Allyson Galloway,Singer-Songwriter,,
Amphora,"Hardcore, Metalcore, Punk",,
Anemoia,"Hardcore, Metalcore, Punk",,
Anna Rose Baker,"Indie, Alternative",,
Aquarian Blood,"Folk-Rock, Experimental",,
Arthur,"Singer-Songwriter, Emo, Indie",,
As Lonely as a Blue Star,"Hardcore, Metalcore, Emo",,
Autolith ,"Metalcore, Metal",,
Ava Tignor,"Singer-Songwriter, Indie",,
Aversive Control,"Hardcore, Metalcore",,
Avon Park,"Indie, Jazz, Garage Rock",,
Axcromancer,"Metal, Noise",,
Banales,"Post-Hardcore, Shoegaze, Alternative",,
Big Gelo,Rap,,
Black Deus,Rap,,
Blood Channel,"Hardcore, Metalcore",,
Bluff City Vice,"Noise, Punk, Grunge",,
Blunt Force,"Emo, Grunge, Alternative",,
Bob Voyage,"Jazz, Indie, Garage Rock",,
Bobi Jewel/King's Disease,"Noise, Grunge, Garage Rock",,
Brain Eating Ameoba,"Hardcore, Punk",,
Burning Brigids,"Folk, Singer-Songwriter",,
Bvrnbvbybvrn,"Metal, Noise, Metalcore",,
Camper of the Week,"Indie, Garage Rock",,
Carcass Crew,"Electronic, Hardcore, Metalcore",,
Cel Shade/GLUT,"Hardcore, Metalcore, Electronic",,
Chora,"Metal, Metalcore, Noise",,
Classic Service,"Emo, Pop-Punk, Alternative",,
Codex Sinaiticus,"Metal, Alternative",,
Crum. B,"Shoegaze, Noise, Experimental, Alternative",,
Crystal Palace,"Hardcore, Alternative, Punk",,
Dad Salsa,"Indie, Alternative",,
Data Drums,"Alternative, Punk",,
Deaf Revival,"Hardcore, Alternative, Grunge",,
Decoration Policy,"Post-Hardcore, Noise, Alternative",,
Deerfields,"Pop-Punk, Indie",,
Degenerate Breakfast,"Garage Rock, Pop-Punk, Punk, Alternative",,
Diving Station 95,"Experimental, Electronic",,
DJ Goon,Rap,,
DJ Tolstoy,Electronic,,
El Chavos,"Emo, Pop-Punk, Alternative",,
Esmod,Rap,,
Fearless Dave & the Tsunamis,"Indie, Garage Rock, Pop-Punk",,
Feral God,"Hardcore, Metalcore",,
Foxbody,"Indie, Emo",,
Frankenstyne,"Indie, Garage Rock",,
General Labor,"Electronic, Alternative, Garage Rock",,
Ghosty,"Shoegaze, Indie",,
Gia Welch,"Singer-Songwriter, Country",,
Gooetones,"Indie, Garage Rock",,
Grave Lurker,"Metal, Metalcore",,
Heavy Pour,"Garage Rock, Alternative, Grunge",,
Heels,"Post-Hardcore, Grunge",,
Holiday Beach,"Shoegaze, Indie, Garage Rock, Alternative, Grunge",,
House Party,"Rap, Electronic",,
Human Shield,"Hardcore, Metalcore",,
Ibex Clone,"Noise, Punk",,
Interna,"Metalcore, Metal",,
J-R,Rap,,
Jadewick,"Post-Hardcore, Noise, Alternative",,
Jayo Sama,Rap,,
JBFKO,Rap,,
Jeremy & The Clones,Punk,,
Jombi,"Garage Rock, Indie",,
JR. P,Rap,,
King Solomon,Rap,,
Kitty Dearing & the Dagnabbits,"Singer-Songwriter, Country, Folk",,
Korroded,"Hardcore, Metalcore, Alternative",,
Ladarryl,Rap,,
Late Night Cardigan,"Indie, Garage Rock, Emo",,
Limit Switch,"Alternative, Grunge, Metal",,
Livid Noise,"Post-Hardcore, Emo",,
Los Psychosis,Punk,,
Lyd Viscious & The Problem,"Punk, Garage Rock",,
Magik Hours,"Indie, Garage Rock",,
Magnolia TN,"Metal, Metalcore",,
Manifxst,"Rap, Alternative",,
Massey Lane,"Indie, Garage Rock",,
Melinda,"Indie, Alternative, Emo, Electronic",,
Mi Oso,"Singer-Songwriter, Indie",,
Missed Dunks at Summer League,"Indie, Emo",,
Morrigan,Electronic,,
Mothcat,"Indie, Garage Rock",,
Mudshow,Metal,,
Mxnifest,"Metalcore, Rap",,
MySkinIsWax,"Experimental, Electronic, Noise, Hardcore",,
Nexxy,Rap,,
Nights Like These,"Metalcore, Hardcore",,
Nonconnah,Experimental,,
Oakwalker,"Folk, Folk-Rock, Country",,
One Strange Bird,"Indie, Garage Rock",,
Opossums,"Punk, Garage Rock",,
Outside Source,"Experimental, Electronic",,
Parasoline,"Indie, Garage Rock",,
Paraylsis,"Grunge, Alternative, Metal",,
Pas Moi,"Experimental, Electronic",,
Philip Nye,"Folk-Rock, Folk, Country",,
Pressed,"Hardcore, Garage Rock, Punk, Noise",,
Pyre Blue,"Singer-Songwriter, Indie",,
Pyrhhic Vic,"Indie, Alternative, Electronic, Singer-Songwriter",,
Qemist,"Jungle, Electronic",,
Radar Blips,"Pop-Punk, Indie, Garage Rock",,
Risky Whispers,"Garage Rock, Punk, Noise",,
Rosary,"Hardcore, Metalcore",,
Ruined God,"Metal, Metalcore",,
Runi Salem,"Singer-Songwriter, Indie",,
San Salida,"Indie, Garage Rock",,
Sara Spain,"Singer-Songwriter, Indie",,
Sense of Solace,"Hardcore, Electronic",,
Seraphima,"Emo, Punk, Metalcore",,
Shorty & the Grooves,"Indie, Alternative, Garage Rock",,
Skingraph,"Hardcore, Grunge, Post-Hardcore",,
Skull Family,"Noise, Punk, Alternative",,
Slumdog,"Shoegaze, Garage Rock, Alternative",,
Sock Rocket,"Singer-Songwriter, Indie, Electronic",,
Soni,Rap,,
Speaker Girl,"Emo, Indie, Pop-Punk",,
Spirit Gun,"Hardcore, Metalcore, Post-Hardcore",,
Spoonful,"Garage Rock, Jazz, Noise, Punk",,
Squib Kick,"Post-Hardcore, Emo, Alternative",,
Stay Fasionable,"Pop-Punk, Garage Rock, Indie",,
Steel Waves,"Metalcore, Alternative, Grunge",,
Strooly,"Electronic, Jungle",,
Subperceptual,"Indie, Garage Rock, Noise",,
Sunweight,"Garage Rock, Alternative",,
Suroor,"Experimental, Indie",,
Swag2Digital,Electronic,,
The Acorns,"Pop-Punk, Garage Rock",,
The Brewery,"Garage Rock, Grunge",,
The Contradictions,"Garage Rock, Indie",,
The Current Situation,"Shoegaze, Indie",,
The Ellie Badge,"Emo, Singer-Songwriter, Pop-Punk",,
The Flying V's,"Indie, Garage Rock",,
The Fretz,"Garage Rock, Indie",,
The Gloryholes,Punk,,
The Gunpowder Plot,Punk,,
The Narrows,"Garage Rock, Indie",,
The Peabody Project,"Jazz, Indie",,
The Smokin' Jays,Garage Rock,,
The Stupid Reasons,"Pop-Punk, Garage Rock, Indie",,
Thundergun,"Metal, Metalcore, Alternative, Grunge",,
Tom Foolery,"Indie, Emo, Singer-Songwriter",,
Vincent Manard (solo artist),"Singer-Songwriter, Experimental",,
Visceral Disgust,"Alternative, Garage Rock, Grunge",,
W1NDOW,"Electronic, Experimental",,
Wagoneer,"Garage Rock, Alternative, Grunge",,
Wicker,"Punk, Pop-Punk",,
Yesterday's Trash,Indie,,
Yvng $ick,"Rap, Alternative",,
Zoe Dominguez,"Singer-Songwriter, Indie, Garage Rock, Pop-Punk",,
Zynical,"Alternative, Rap",,
